"Japanese","English"
"//Text $1B3458
#WRITE(ptr,$190D00)
術士のために作られたローブ。[LINE]
身に付けた者の精神力を高める。[LINE]
[END]
","//Text $1B3458
#WRITE(ptr,$190D00)
Robe made for mages.[LINE]
Increases the willpower[LINE]
of its wearers.[END]"
"//Text $1B3440
#WRITE(ptr,$190D38)
[Sign_Shield]ファンシーローブ[END]
","//Text $1B3440
#WRITE(ptr,$190D38)
[Sign_Shield]Fancy Robe[END]
"
"//Text $1B33F8
#WRITE(ptr,$190D3C)
可愛さを追求したローブ。[LINE]
ふわふわなロングスカートは、[LINE]
女の子の憧れ。[END]
","//Text $1B33F8
#WRITE(ptr,$190D3C)
Robe for those pursuing cuteness.[LINE]
Its fluffy skirt is admired by girls[LINE]
everywhere.[END]"
"//Text $1B33E0
#WRITE(ptr,$190D74)
[Sign_Shield]ムーンローブ[END]
","//Text $1B33E0
#WRITE(ptr,$190D74)
[Sign_Shield]Moon Robe[END]
"
"//Text $1B33A0
#WRITE(ptr,$190D78)
月夜を意匠して作られたローブ。[LINE]
聖なる月の力が宿っている。[LINE]
[END]
","//Text $1B33A0
#WRITE(ptr,$190D78)
Robe designed after a[LINE]
moonlit night. Endowed with[LINE]
the moon's holy power.[END]"
"//Text $1B3388
#WRITE(ptr,$190DB0)
[Sign_Shield]スターローブ[END]
","//Text $1B3388
#WRITE(ptr,$190DB0)
[Sign_Shield]Star Robe[END]
"
"//Text $1B3338
#WRITE(ptr,$190DB4)
星を意匠して作られたローブ。[LINE]
流星のように速く動ける。[LINE]
と、宣伝されている。[END]
","//Text $1B3338
#WRITE(ptr,$190DB4)
Robe designed after a star. Allows[LINE]
one to move as fast as a falling[LINE]
star. Or so it is advertised.[END]"
"//Text $1B3320
#WRITE(ptr,$190DEC)
[Sign_Shield]ウォーロックローブ[END]
","//Text $1B3320
#WRITE(ptr,$190DEC)
[Sign_Shield]Warlock Robe[END]
"
"//Text $1B32C8
#WRITE(ptr,$190DF0)
熟練の術士のためのローブ。[LINE]
精神力を高めるだけではなく、[LINE]
身を守ることにも長けている。[END]
","//Text $1B32C8
#WRITE(ptr,$190DF0)
Robe made for skilled mages.[LINE]
Not only does it raise one's [LINE]
willpower but also their defenses.[END]"
"//Text $1B32B0
#WRITE(ptr,$190E28)
[Sign_Shield]スピリットローブ[END]
","//Text $1B32B0
#WRITE(ptr,$190E28)
[Sign_Shield]Spirit Robe[END]
"
"//Text $1B3268
#WRITE(ptr,$190E2C)
霊的な加護の施されたローブ。[LINE]
身に付けた者に不屈の精神を与える。[LINE]
[END]
","//Text $1B3268
#WRITE(ptr,$190E2C)
Robe that imbues one with[LINE]
spiritual protection. Gives[LINE]
its wearers mental fortitude.[END]"
"//Text $1B3258
#WRITE(ptr,$190E64)
[Sign_Shield]レアローブ[END]
","//Text $1B3258
#WRITE(ptr,$190E64)
[Sign_Shield]Rare Robe[END]
"
"//Text $1B5880
#WRITE(ptr,$190E68)
名工ギースの魂のこもった[LINE]
無二の傑作。[LINE]
きわめて希少価値が高い。[END]
","//Text $1B5880
#WRITE(ptr,$190E68)
Masterpiece imbued with[LINE]
the soul of Giese.[LINE]
Extremely valuable.[END]"
"//Text $1B3240
#WRITE(ptr,$190EA0)
[Sign_Shield]ストレイローブ[END]
","//Text $1B3240
#WRITE(ptr,$190EA0)
[Sign_Shield]Stray Robe[END]
"
"//Text $1B31F8
#WRITE(ptr,$190EA4)
ストレイライズ神殿のローブ。[LINE]
神の使徒となった日に[LINE]
渡される制服。[END]
","//Text $1B31F8
#WRITE(ptr,$190EA4)
Robe of the Straylize Temple.[LINE]
Uniform handed out to those[LINE]
who become disciples of God.[END]
"
"//Text $1B31E0
#WRITE(ptr,$190EDC)
[Sign_Shield]エルダーローブ[END]
","//Text $1B31E0
#WRITE(ptr,$190EDC)
[Sign_Shield]Elder Robe[END]
"
"//Text $1B3188
#WRITE(ptr,$190EE0)
偉大なる聖職者の名がつけられた[LINE]
ローブ。彼の愛したニワトコの花で[LINE]
染められている。[END]
","//Text $1B3188
#WRITE(ptr,$190EE0)
A robe named after a grand[LINE]
priest, dyed with the flowers[LINE]
of his beloved elderberries.[END]"
"//Text $1B3170
#WRITE(ptr,$190F18)
[Sign_Shield]ミスティローブ[END]
","//Text $1B3170
#WRITE(ptr,$190F18)
[Sign_Shield]Misty Robe[END]
"
"//Text $1B3130
#WRITE(ptr,$190F1C)
原料や生成が不明なローブ。[LINE]
見る角度により色が変化する。[LINE]
[END]
","//Text $1B3130
#WRITE(ptr,$190F1C)
Robe made by an unknown process[LINE]
and materials. Its colors change with[LINE]
viewing angle.[END]"
"//Text $1B3118
#WRITE(ptr,$190F54)
[Sign_Shield]ルーンローブ[END]
","//Text $1B3118
#WRITE(ptr,$190F54)
[Sign_Shield]Rune Robe[END]
"
"//Text $1B30B8
#WRITE(ptr,$190F58)
安息のルーンが刺繍されたローブ。[LINE]
どんな辛い苦行でも、耐えられる[LINE]
力を身につけた者に与える。[END]
","//Text $1B30B8
#WRITE(ptr,$190F58)
Robe embroidered with the Rest[LINE]
rune. Imbues one with the power[LINE]
to resist any punishment.[END]"
"//Text $1B30A0
#WRITE(ptr,$190F90)
[Sign_Shield]ウィッチローブ[END]
","//Text $1B30A0
#WRITE(ptr,$190F90)
[Sign_Shield]Witch Robe[END]
"
"//Text $1B3048
#WRITE(ptr,$190F94)
位の高い術士が着るローブ。[LINE]
精神量を増加させ、練りこまれた[LINE]
呪術が敵の攻撃から身を守る。[END]
","//Text $1B3048
#WRITE(ptr,$190F94)
Robe worn by high-ranking mages.[LINE]
Increases one's willpower and[LINE]
protects against enemy attacks.[END]"
"//Text $1B3030
#WRITE(ptr,$190FCC)
[Sign_Shield]プリズムローブ[END]
","//Text $1B3030
#WRITE(ptr,$190FCC)
[Sign_Shield]Prism Robe[END]
"
"//Text $1B2FF8
#WRITE(ptr,$190FD0)
虹色の光を放つローブ。[LINE]
光の屈折により敵を惑わす。[LINE]
[END]
","//Text $1B2FF8
#WRITE(ptr,$190FD0)
Robe that breaks light into the[LINE]
colors of the rainbow. Bewilders[LINE]
enemies with its refracted light.[END]"
"//Text $1B2FE0
#WRITE(ptr,$191008)
[Sign_Shield]グリムローブ[END]
","//Text $1B2FE0
#WRITE(ptr,$191008)
[Sign_Shield]Grimm Robe[END]
"
"//Text $1B2F90
#WRITE(ptr,$19100C)
伝説に登場する幻想の力を秘めた[LINE]
ローブ。口伝を書物にまとめた[LINE]
兄弟の名を冠する。[END]
","//Text $1B2F90
#WRITE(ptr,$19100C)
Robe imbued with the hidden power of[LINE]
fantasies. Named after the brothers[LINE]
who collected oral traditions into a book.[END]"
"//Text $1B2F78
#WRITE(ptr,$191044)
[Sign_Shield]エプロンドレス[END]
","//Text $1B2F78
#WRITE(ptr,$191044)
[Sign_Shield]Apron Dress[END]
"
"//Text $1B2F20
#WRITE(ptr,$191048)
フィッツガルドで密かなブームに[LINE]
なっている服。家事の時でも[LINE]
可愛さを忘れないアイテム。[END]
","//Text $1B2F20
#WRITE(ptr,$191048)
Clothes that became a secret boom[LINE]
in Fitzgald. Item for those who do not ignore[LINE]
cuteness even while doing housework.[END]"
"//Text $1B2F08
#WRITE(ptr,$191080)
[Sign_Shield]シースドレス[END]
","//Text $1B2F08
#WRITE(ptr,$191080)
[Sign_Shield]Sheath Dress[END]
"
"//Text $1B2EB8
#WRITE(ptr,$191084)
細身で透け感の際どいドレス。[LINE]
涼しく着心地が良くて快適。[LINE]
少し勇気はいる。[END]
","//Text $1B2EB8
#WRITE(ptr,$191084)
Risky, thin, and see-through dress.[LINE]
Feels pleasantly refreshing. Requires[LINE]
a little confidence to wear.[END]"
"//Text $1B2EA0
#WRITE(ptr,$1910BC)
[Sign_Shield]カントリードレス[END]
","//Text $1B2EA0
#WRITE(ptr,$1910BC)
[Sign_Shield]Country Dress[END]
"
"//Text $1B2E68
#WRITE(ptr,$1910C0)
田園調の素朴なドレス。[LINE]
懐古趣味な貴族たちに人気。[LINE]
[END]
","//Text $1B2E68
#WRITE(ptr,$1910C0)
Simple country dress.[LINE]
Popular among nostalgic aristocrats.[LINE]
[END]"
"//Text $1B2E50
#WRITE(ptr,$1910F8)
[Sign_Shield]チャイナドレス[END]
","//Text $1B2E50
#WRITE(ptr,$1910F8)
[Sign_Shield]China Dress[END]
"
"//Text $1B2E00
#WRITE(ptr,$1910FC)
アクアヴェイルで生まれたドレス。[LINE]
女性のボディラインを美しく[LINE]
見せてくれる。[END]
","//Text $1B2E00
#WRITE(ptr,$1910FC)
Dress created in Aquaveil.[LINE]
Emphasizes the beauty of[LINE]
the female figure.[END]"
"//Text $1B2DE8
#WRITE(ptr,$191134)
[Sign_Shield]カクテルドレス[END]
","//Text $1B2DE8
#WRITE(ptr,$191134)
[Sign_Shield]Cocktail Dress[END]
"
"//Text $1B2DA0
#WRITE(ptr,$191138)
粋な情緒の夜会用ドレス。[LINE]
パーティーの必需品。[LINE]
胸元の開きが勝負所。[END]
","//Text $1B2DA0
#WRITE(ptr,$191138)
Dress for sophisticated balls.[LINE]
A necessity for parties.[LINE]
Has an open cleavage.[END]"
"//Text $1B2D88
#WRITE(ptr,$191170)
[Sign_Shield]ウェディングドレス[END]
","//Text $1B2D88
#WRITE(ptr,$191170)
[Sign_Shield]Wedding Dress[END]
"
"//Text $1B2D58
#WRITE(ptr,$191174)
純白の花嫁衣裳。[LINE]
女の子の憧れ、幸せの象徴。[LINE]
[END]
","//Text $1B2D58
#WRITE(ptr,$191174)
Pure white wedding dress.[LINE]
Yearned for by girls and[LINE]
symbol of happiness.[END]"
"//Text $1B2D40
#WRITE(ptr,$1911AC)
[Sign_Shield]ターミナルローブ[END]
","//Text $1B2D40
#WRITE(ptr,$1911AC)
[Sign_Shield]Terminal Robe[END]
"
"//Text $1B2CE0
#WRITE(ptr,$1911B0)
「最後」を意味するローブ。[LINE]
世界を滅するほどの力を身に宿す。[LINE]
選ばれた者のみが手にできる。[END]
","//Text $1B2CE0
#WRITE(ptr,$1911B0)
Robe that carries the meaning of ""End"". Protects[LINE]
the body from the power to destroy the world.[LINE]
Can only be acquired by the chosen ones.[END]"
